{re = 8.28421307, im = 0}
{re = -2.22336578, im = 0.975008249}
{re = 2.29639697, im = -2.62456751}
{re = 0.36369586, im = 2.38088751}
{re = -2.44483495, im = -0.079916358}
{re = 2.26332641, im = -1.02885139}
{re = -0.752846658, im = -3.26789737}
{re = -1.59207392, im = 1.81844068}
{re = -1.40934873, im = -2.12071466}
{re = 2.08285975, im = 1.22857285}
{re = 5.28186321, im = -1.61903691}
{re = -0.159764528, im = 2.4038837}
{re = -2.37700748, im = -0.633770406}
{re = 2.41975021, im = -0.422233522}
{re = -0.821068287, im = -2.47780299}
{re = 1.75263596, im = 1.65898776}
{re = 0.619327426, im = -2.762995}
{re = -1.95230162, im = 1.43274045}
{re = -4.31668568, im = -3.38507581}
{re = -1.15981746, im = 2.1163857}
{re = -1.86139119, im = -1.67799282}
{re = 2.31469107, im = 0.726131022}
{re = 0.889166534, im = -2.80564976}
{re = 0.871995628, im = 2.24546528}
{re = 1.94315743, im = -1.63135684}
{re = -2.39114594, im = 0.463820338}
{re = 10.0408134, im = 0.73325789}
{re = -0.419926167, im = 2.37301111}
{re = -2.29604483, im = -0.907206655}
{re = 2.44288778, im = -0.123303056}
{re = -0.470589101, im = -2.61563969}
{re = 1.55623937, im = 1.84225941}
{re = 1.06686449, im = -2.49267197}
{re = -2.09993768, im = 1.21177018}
{re = 1.50902271, im = -2.76163697}
{re = 0.621177673, im = 2.32705283}
{re = -2.43280149, im = 0.194645524}
{re = 2.12533069, im = -1.33173072}
{re = -1.97149801, im = -3.46784949}
{re = -1.38376808, im = 1.97923779}
{re = -1.65184188, im = -1.90847635}
{re = 2.21214032, im = 0.98530525}
{re = -13.7037125, im = 3.27261662}
{re = -0.922732353, im = 2.22846961}
{re = -2.03843784, im = -1.43229365}
{re = 2.38856506, im = 0.453360796}
